bigram,score
servicepens bill,-18.4723687512295
drug compani,-18.39406574740309
cours iraq,-18.3398910075588
veteran health,-18.317220492925063
direct tax,-18.28888668493431
histor boundari,-18.2706947288568
refere board,-18.2412361966265
naval vessel,-18.2030949379119
gold silver,-18.1326487753347
mcnaryhaugen bill,-18.12938605290805
debt relief,-18.1017368154475
iraqi govern,-18.06648153965535
antisaloon leagu,-18.06589897224588
insur reform,-18.0453381015282
khmer roug,-18.0058272043827
progress caucus,-17.959745972813437
give farmer,-17.9490000310477
farm relief,-17.872543198742708
million job,-17.862801491516336
buy gun,-17.851444092617665
paygo rule,-17.836531615676325
polish peopl,-17.82512508744664
diseas eye,-17.7926783995457
seaward boundari,-17.7820375554931
trade deficit,-17.72637215780242
bargain chip,-17.68785350850545
use gold,-17.673693923024
loan debt,-17.631889205927468
rebuild iraq,-17.53314463462814
carbon pollut,-17.526886887279872
nuclear freez,-17.4612081328673
increas duti,-17.448748027973608
also petit,-17.43432385860668
ruml plan,-17.424694689393007
transport infrastructur,-17.423520446376422
children health,-17.383271457229345
philippin independ,-17.3602114418818
line duti,-17.357268832661
montford point,-17.3478727435089
import public,-17.334173504541894
high protect,-17.319680776566628
millionair billionair,-17.29097748169065
serv countri,-17.25232887266594
persian gulf,-17.23684524603725
troop iraq,-17.224500124387447
base mode,-17.220771925698752
financi crisi,-17.2101107313807
ship subsidi,-17.20049673330045
sugar trust,-17.184036605104907
game warden,-17.131934839448
feder reserv,-17.086055960740794
counti receiv,-17.0179205575417
give tax,-16.95092819340388
trade journal,-16.918514945383
waltham watch,-16.898634649851505
suit section,-16.8659168446878
revis tariff,-16.83113647440497
war tariff,-16.7435521773756
navi yard,-16.72894532301562
reduc deficit,-16.7264254067597
street reform,-16.602982247886814
cost war,-16.58751806150749
expand medicaid,-16.5403182300776
across countri,-16.513611035268482
tar sand,-16.513546414728378
vote right,-16.474312446207257
revenuecutt servic,-16.473761546262562
frankford arsenal,-16.4642320601701
elector bill,-16.4583804251591
foreclosur crisi,-16.404991545235436
unregist voter,-16.3828962830491
net incom,-16.381306940179122
pension bureau,-16.359380385872665
war crimin,-16.2771653301568
deni coverag,-16.276531149903565
equal proport,-16.2352465061387
sea level,-16.205619541393933
gold standard,-16.16363135077936
justic bill,-16.1606752812227
school lunch,-16.147509175785018
detent bed,-16.1401174599894
tariff effect,-16.0276287309033
fullemploy bill,-16.0139641397904
credit card,-15.95655699565965
suspect terrorist,-15.9248052952901
immigr natur,-15.914895632587776
barg canal,-15.8365339628524
spend iraq,-15.8218251037335
drug benefit,-15.791967858684632
cheroke strip,-15.7680517754605
custom administr,-15.7644504132756
financ corpor,-15.729223119707772
come home,-15.699875956889247
manufactur job,-15.698285224937715
gun safeti,-15.659326264291119
unemploy insur,-15.656534815558116
econom crisi,-15.595850857266425
tax upon,-15.581329981711585
transfer indian,-15.5382925713164
big oil,-15.533787449465322
oceanmail contract,-15.5200690083811
forc arbitr,-15.5116738766204
cost prescript,-15.494102459803372
support contra,-15.491621060891
bloodi sunday,-15.4886485604653
complet vessel,-15.4854354763725
diversifi farm,-15.4746223094396
compens bill,-15.4653477083795
percent pariti,-15.457868179219089
theater project,-15.4308849906846
construct compani,-15.3933146488857
movement made,-15.3398239917396
afford health,-15.306744140064202
consular court,-15.2895415149511
traumat brain,-15.2889036988846
favor bimetal,-15.2232111892275
traction compani,-15.217784714929614
wealthiest american,-15.214771380233875
model citi,-15.2011720060201
tariff duti,-15.13330087198988
one leagu,-15.1331978884149
