bigram,score
welfar system,19.934125596381218
commod credit,19.908908181500838
cheroke outlet,19.8323465569072
choctaw counti,19.79824476981715
clerk postoffic,19.7876176530902
widow privat,19.7454392271529
sold otherwis,19.713194715192
cent pay,19.70073194804
save account,19.6380575459225
legisl send,19.618154340006
foreign silver,19.6181174842065
smallbusi owner,19.6108684833398
tax code,19.58339571236751
feder board,19.445716048062398
feder spend,19.430548921011766
act bankruptci,19.4220081845877
central account,19.4212072638775
care plan,19.385872616832987
go happen,19.3705525535474
war financ,19.346971043411777
busi owner,19.319683597236143
militari train,19.239020968617496
govern spend,19.183931065592162
school age,19.17496202909106
next chart,19.14027609066105
commod claus,19.114514919568
doubl breast,19.1144050554482
purchas foreign,19.0756058265481
theyr go,19.0606356420892
fanni mae,18.980655860758556
univers militari,18.942364136130646
compensatori duti,18.9328840465403
whose commiss,18.9304178199331
commonsens plan,18.8057742724753
speci payment,18.794924838123755
presid fillmor,18.7855457150478
staff corp,18.7329646287315
youv got,18.633126069739
medic devic,18.611313278244513
product state,18.6080971223323
make rate,18.5901974608862
pluck board,18.5841924558565
conclus god,18.570289665219452
organ militia,18.542779578331903
year local,18.5135268462399
put us,18.4672648197605
art medicin,18.4226336999736
citi savannah,18.4136455743229
threat unit,18.3940429541347
norfolk navyyard,18.385687567218174
secretari war,18.373837181270723
direct relief,18.30616644299923
support rule,18.26431612388404
implement obamacar,18.2392901978362
global war,18.173235107219455
billion stimulus,18.1630365417346
sunset memori,18.1581313308071
murraykilgor bill,18.1479113026599
retail purchas,18.1191656904279
coal liquid,18.1056087146726
postoffic depart,18.07489205817047
hardwork taxpay,18.073723646542632
repeal death,18.05789588717988
what go,18.0326484141115
veteran bureau,18.015047610910383
war depart,18.014979220880534
famili assist,17.9788375010667
energi product,17.97598136799706
save trust,17.948995115874
skill act,17.9413283415006
manpow commiss,17.92969730644575
counti agent,17.91063119375205
consum counsel,17.8618632334131
pneumatictub servic,17.8280001977968
btu tax,17.7934848448319
foreign countri,17.767908505608826
go cost,17.7445797735373
kept promis,17.6814768035813
go see,17.6606370505696
religi freedom,17.653330628043886
taxpay dollar,17.529997381861957
heart mind,17.52721659477937
fight foreign,17.5242599363595
territori court,17.5166766956887
surfac mine,17.469556151120894
particip certif,17.4675946123368
spend debt,17.4220860612413
second quarter,17.3640286584248
citizen militari,17.3605219318357
execut overreach,17.3590546312411
defend citizen,17.347933034566267
intern armi,17.3187308872444
intellig charact,17.3137918419846
wreck vessel,17.2005274314321
repeal obamacar,17.197127039634616
first precinct,17.174148637427756
fulltim employe,17.1528151321473
payment advisori,17.1141233960773
budget amend,17.06975159794682
increas spend,17.01939190000048
combin follow,17.0143719897329
tax rate,17.008562290271428
faith execut,16.9482545418807
subic bay,16.9449633215826
crimin referr,16.9390656862247
war coal,16.913709008378856
upon ballot,16.9130336332367
order commiss,16.911075141752768
vote popul,16.8989965058355
cuban crop,16.88689730045806
creat territori,16.8576603206585
dont think,16.79606099018941
higher tax,16.77301332227675
resourc board,16.720070698066372
luxuri tax,16.670894146925974
stop communism,16.660243482524702
confeder govern,16.656712139351793
pleas god,16.6563204904628
islam state,16.650086283542098
childlabor bill,16.6220429844661
involuntari bankruptci,16.61600021515595
use everifi,16.6108753641165
under bill,16.599147665444242
that go,16.578015545871
manmad global,16.57783761240293
illeg alien,16.562923097480134
advisori board,16.5391549394827
catastroph health,16.4902238398195
tax impos,16.487774010344
defens program,16.458990493447317
confeder soldier,16.4428080255761
peak oil,16.439601058452137
job creation,16.438183760170595
secur surplus,16.39395762720634
sumatra wrapper,16.3811230328106
motorvehicl fuel,16.3626171751442
energi need,16.3613545654695
bipartisan substitut,16.354069301006
underag drink,16.3311944883941
point reach,16.320518625728
enforc enhanc,16.3182757993339
spell punctuat,16.3076345077829
color voter,16.292995476730624
corpus christi,16.279399775386036
big govern,16.269136470628276
worker devot,16.1904144999387
demonstr citi,16.1484585506582
use less,16.137407625182
shoot war,16.0851177048751
lift sanction,16.0551985224019
five point,16.044612777012915
opportun scholarship,16.0320529247476
stand previous,16.019679141074
first eight,16.0186187137965
under legisl,16.001369437415924
forc buse,15.9910577631225
expeditionari forc,15.9765679212337
fight isi,15.9431710901069
postal receipt,15.911895557805664
american taxpay,15.880834090936185
expans act,15.8649411547645
win war,15.842020068963205
educ depriv,15.8334112406244
resolut adher,15.8093809535497
veteran administr,15.80866485725882
presid eisenhow,15.778621006739517
brain truster,15.7711024573441
enhanc act,15.695981062813425
billion gallon,15.6932256258798
armi approv,15.6831058249351
veto balanc,15.6621272817103
invit propos,15.625205779052
percent year,15.6220076138215
paper number,15.6041331288359
school fund,15.590221376446655
continu reserv,15.542460689318188
lock away,15.533796795877
food administr,15.528497245448015
print offic,15.522806910929154
send signal,15.470748084700414
bale less,15.4407323981537
health save,15.427094659265475
largest tax,15.402182815506942
much borrow,15.3963984237415
chang heart,15.393423458624602
combat status,15.3837988867578
roug vicksburg,15.3819438213401
standbi reserv,15.3711263796633
terrorist attack,15.353599548334843
trillion barrel,15.3196332199523
first duti,15.2972787961596
railroad compani,15.288555987570593
secur rural,15.2664985815892
file commiss,15.2488558290215
your go,15.238758276802281
pass balanc,15.232971797095805
target conserv,15.2285404657799
forestri servic,15.210608581637748
sex traffick,15.1993534693013
like plan,15.1700213945887
patent troll,15.147871161889551
inact reserv,15.125126949004
bear arm,15.123476962626
feder emerg,15.086668116981
medicar go,15.07617852944071
tax gap,15.0698236049092
machin vote,15.0627472426574
dutiabl list,15.0395235097948
rate structur,15.007659213244375
